종가_등락률,거래량_등락률,고가-종가_비율,종가-저가_비율,연속상승,연속하락,RSI,target
-2.4,49.58,1.69,0.12,0,0,54.05,0
1.59,36.95,0.36,1.68,0,0,64.52,0
-0.49,-16.97,0.24,0.49,0,1,58.82,1
-0.36,36.03,0.0,0.73,0,0,63.37,0
1.1,-20.23,0.0,0.97,1,0,63.73,0
0.25,-15.87,0.85,0.86,0,0,58.18,1
-0.24,-6.64,0.73,0.0,0,1,58.18,1
-0.49,28.24,0.97,0.24,0,1,57.41,0
-0.97,20.52,1.32,0.0,0,1,62.26,0
-0.72,-16.45,0.48,0.48,0,0,64.6,0
0.85,-13.0,0.0,1.08,1,0,66.39,0
0.49,27.77,0.12,1.45,0,0,61.16,1
-0.24,-35.59,0.72,0.0,0,1,67.89,1
-1.55,39.39,1.08,0.12,0,0,63.54,0
0.72,1.53,0.12,0.95,0,0,63.92,0
-0.72,-0.92,0.83,0.0,0,1,50.6,1
-0.24,-5.79,0.94,0.36,0,0,63.16,0
0.12,18.72,0.47,0.83,0,0,62.16,0
0.0,-9.47,0.36,0.71,0,0,59.72,1
0.96,17.99,0.59,1.43,0,0,68.25,0
-0.48,-29.01,1.07,0.12,0,1,62.32,1
-1.3,-5.46,1.53,0.24,0,1,63.38,0
-1.05,7.6,1.17,0.71,0,1,66.67,0
-0.47,-6.07,0.7,0.23,0,0,67.09,0
0.7,17.14,0.23,1.05,1,0,66.23,0
0.71,-29.31,0.7,0.7,1,0,67.11,1
2.29,23.14,0.47,1.06,1,0,65.38,1
1.84,8.33,0.12,1.09,0,0,51.58,1
-0.97,31.39,1.57,0.0,0,0,37.11,1
0.74,-12.24,0.12,1.09,1,0,44.44,0
0.12,16.4,0.12,0.74,1,0,38.38,1
0.37,-12.96,0.12,0.61,1,0,36.73,1
0.25,-17.67,1.1,0.49,0,0,36.0,1
-0.98,34.79,0.74,0.37,0,1,35.29,1
-0.24,4.97,1.33,0.0,0,0,43.14,0
0.12,-20.16,0.36,0.37,0,0,42.0,0
-1.21,-14.61,0.73,0.12,0,0,34.44,1
0.73,59.87,1.07,0.36,0,0,35.16,0
-0.6,-5.44,0.72,0.36,0,0,30.11,1
1.22,-10.5,0.24,0.85,0,0,35.87,0
-1.21,1.52,1.33,0.0,0,0,34.38,1
0.98,-43.19,0.84,0.48,1,0,49.43,0
1.36,18.86,0.61,1.22,0,0,53.75,1
-0.61,-21.17,1.94,0.25,0,1,42.17,1
-0.73,44.1,0.61,0.98,0,1,48.78,0
-0.12,-13.98,1.2,0.49,0,1,52.87,0
-0.36,-15.77,0.61,1.22,0,1,55.29,0
-1.9,22.46,0.96,0.24,0,0,58.14,0
0.48,-40.65,0.0,1.43,1,0,61.7,0
1.33,-13.04,1.99,0.72,0,0,58.33,1
-3.28,12.78,1.08,0.61,0,0,52.83,1
4.02,27.41,0.12,2.7,0,0,59.68,0
0.0,30.21,1.91,0.85,0,0,49.01,1
-0.24,-19.01,1.09,1.1,0,1,47.26,0
-0.48,-1.78,2.38,0.0,0,0,51.45,0
0.61,21.35,0.24,1.94,0,0,49.24,0
-1.32,16.5,1.79,0.0,0,1,50.39,1
-2.0,-10.62,1.19,0.24,0,0,58.91,0
0.83,-12.95,1.28,0.82,1,0,62.41,0
3.19,2.19,0.36,1.07,0,0,57.75,1
-1.33,10.18,1.21,0.0,0,1,48.5,1
-0.36,36.25,2.48,0.0,0,1,50.86,0
